player_name,season,team_long_name,league
Mitchell Pique,2008/2009,ADO Den Haag,Netherlands Eredivisie
Kai van Hese,2008/2009,ADO Den Haag,Netherlands Eredivisie
Rick Hoogendorp,2008/2009,ADO Den Haag,Netherlands Eredivisie
Benoit Pedretti,2008/2009,AJ Auxerre,France Ligue 1
Olivier Sorin,2008/2009,AJ Auxerre,France Ligue 1
Daniel Niculae,2008/2009,AJ Auxerre,France Ligue 1
Jean-Pascal Mignot,2008/2009,AJ Auxerre,France Ligue 1
Kevin Lejeune,2008/2009,AJ Auxerre,France Ligue 1
Stephane Grichting,2008/2009,AJ Auxerre,France Ligue 1
Adama Coulibaly,2008/2009,AJ Auxerre,France Ligue 1
Julien Quercia,2008/2009,AJ Auxerre,France Ligue 1
Valter Birsa,2008/2009,AJ Auxerre,France Ligue 1
Moussa Narry,2008/2009,AJ Auxerre,France Ligue 1
Dennis Oliech,2008/2009,AJ Auxerre,France Ligue 1
Thomas Kahlenberg,2008/2009,AJ Auxerre,France Ligue 1
Steeven Langil,2008/2009,AJ Auxerre,France Ligue 1
Remy Riou,2008/2009,AJ Auxerre,France Ligue 1
Kamel Chafni,2008/2009,AJ Auxerre,France Ligue 1
Cedric Hengbart,2008/2009,AJ Auxerre,France Ligue 1
Dariusz Dudka,2008/2009,AJ Auxerre,France Ligue 1
Jeremy Berthod,2008/2009,AJ Auxerre,France Ligue 1
Jerko Leko,2008/2009,AS Monaco,France Ligue 1
Vincent Muratori,2008/2009,AS Monaco,France Ligue 1
Yohan Thuram Ulien,2008/2009,AS Monaco,France Ligue 1
Flavio Roma,2008/2009,AS Monaco,France Ligue 1
Patrick Mueller,2008/2009,AS Monaco,France Ligue 1
Nicolas N'Koulou,2008/2009,AS Monaco,France Ligue 1
Adriano Pereira da Silva,2008/2009,AS Monaco,France Ligue 1
Alejandro Alonso,2008/2009,AS Monaco,France Ligue 1
Jean-Jacques Gosso,2008/2009,AS Monaco,France Ligue 1
Sani Kaita,2008/2009,AS Monaco,France Ligue 1
Diego Perez,2008/2009,AS Monaco,France Ligue 1
Juan Pablo Pino,2008/2009,AS Monaco,France Ligue 1
Thomas Mangani,2008/2009,AS Monaco,France Ligue 1
Francois Modesto,2008/2009,AS Monaco,France Ligue 1
Cedric Mongongu,2008/2009,AS Monaco,France Ligue 1
Yohan Mollo,2008/2009,AS Monaco,France Ligue 1
Kevin Diaz,2008/2009,AS Monaco,France Ligue 1
Stephane Ruffier,2008/2009,AS Monaco,France Ligue 1
Camel Meriem,2008/2009,AS Monaco,France Ligue 1
Nikola Pokrivac,2008/2009,AS Monaco,France Ligue 1
Serge Gakpe,2008/2009,AS Monaco,France Ligue 1
Igor Lolo,2008/2009,AS Monaco,France Ligue 1
Chu-Young Park,2008/2009,AS Monaco,France Ligue 1
"Dario Simic,25",2008/2009,AS Monaco,France Ligue 1
Abdeslam Ouaddou,2008/2009,AS Nancy-Lorraine,France Ligue 1
Pascal Berenguer,2008/2009,AS Nancy-Lorraine,France Ligue 1
Andre Luiz,2008/2009,AS Nancy-Lorraine,France Ligue 1
Issiar Dia,2008/2009,AS Nancy-Lorraine,France Ligue 1
Helder,2008/2009,AS Nancy-Lorraine,France Ligue 1
Landry N'Guemo,2008/2009,AS Nancy-Lorraine,France Ligue 1
Benjamin Gavanon,2008/2009,AS Nancy-Lorraine,France Ligue 1
Moncef Zerka,2008/2009,AS Nancy-Lorraine,France Ligue 1
Chris Malonga,2008/2009,AS Nancy-Lorraine,France Ligue 1
Frederic Biancalani,2008/2009,AS Nancy-Lorraine,France Ligue 1
Damien Gregorini,2008/2009,AS Nancy-Lorraine,France Ligue 1
Julien Feret,2008/2009,AS Nancy-Lorraine,France Ligue 1
Jonathan Brison,2008/2009,AS Nancy-Lorraine,France Ligue 1
Damian Macaluso Rojas,2008/2009,AS Nancy-Lorraine,France Ligue 1
Michael Basser Chretien,2008/2009,AS Nancy-Lorraine,France Ligue 1
Alfred N'Diaye,2008/2009,AS Nancy-Lorraine,France Ligue 1
Joeel Sami,2008/2009,AS Nancy-Lorraine,France Ligue 1
Gennaro Bracigliano,2008/2009,AS Nancy-Lorraine,France Ligue 1
